id,ip,user_agent,referrer,country,city,status,created_at,updated_at
6,"44.193.72.82","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-09 19:00:54","2025-09-09 19:00:54"
7,"34.132.204.188","Mozilla/5.0 (X11; CrOS i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","Direct","United States","Council Bluffs","active","2025-09-09 19:06:17","2025-09-09 19:06:17"
10,"91.134.91.17","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0","Direct","France","Paris","active","2025-09-10 00:13:57","2025-09-10 00:13:57"
11,"35.192.151.23","Mozilla/5.0 (X11; CrOS i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","Direct","United States","Council Bluffs","active","2025-09-10 00:19:14","2025-09-10 00:19:14"
13,"192.175.111.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:37","2025-09-10 00:28:37"
14,"64.15.129.102","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:40","2025-09-10 00:28:40"
15,"64.15.129.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:47","2025-09-10 00:28:47"
16,"64.15.129.108","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","Direct","Canada","Montreal","active","2025-09-10 00:28:48","2025-09-10 00:28:48"
17,"192.175.111.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:50","2025-09-10 00:28:50"
18,"192.175.111.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://www.creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:52","2025-09-10 00:28:52"
